OTU_ID	S1	S2	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
5083fdd46e5a897067953fc6299a8761e4dcadba_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp	-	-	-	-	-	-	-	Unassigned	-
39643dd41618509e7ac146164b81a557e61414e2_30	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
9ef18111fccb91ff9121ca43a1d62eb9935c0c1c_1	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
ef1b8fef4137550b5fb9f8cc87478d36f04d4d12_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
3aeb4d391d6835fbb9d371f9ccb004d3ec810a35_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	-	-	-	-	-	-	-	Unassigned	-
e8e4a9ff9ae022bbba6f491b09657eb89aa684e2_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp	-	-	-	-	-	-	-	Unassigned	-
fb441fe5f71b29cb31e436939e184c6100b9a835_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
c7a7535caba8b8f00f46eb3d6aafc60bcfe30ef7_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp	-	-	-	-	-	-	-	Unassigned	-
2f9aeae820571253b566c23b98017bfc6aecc012_2	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
902590e5dc046287201f882e2617ad28bf4cdc49_4	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp	-	-	-	-	-	-	-	Unassigned	-
fe98ee85ad1a885277ba4c107c183cd0e2e28ba0_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
7f6f14becb9cda10f82a350ba3e9df014dda65ce_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
2f44ba0bcaf3ab188fbd861fd0e72bf5c6b75287_2	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
e93681749e32d37df117dc63e47d8afe519e2deb_1	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
88704ca584e14c19ea587855205ee6eb5199421f_1	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
1c52aa4a865ad0ec538fc4776618c4a9c58e2346_1	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
fc8447e745cc017a6441a2ff0eea09473f6b4a8c_3	1	1	k__Fungi;p__Ascomycota;c__Incertae sedis;o__Incertae sedis;f__Incertae sedis;g__Knufia;s__Knufia sp	-	-	-	-	-	-	-	Unassigned	-
37be2946b2f0ccbc575dad60c111b9a900c36ad3_109	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus	-	-	-	-	-	-	-	Unassigned	-
f660105b0ef0ea276a5b75ce995ace6c9a3ff7de_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
f11a9510790b374bd0a03007c6ffb3554f2d1885_4	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
23fb35957645bf595e5da93cab0ec88db3d38556_1	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
fa092cfd3657f6d1829e52a3159712cb9ed8d246_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
ae207f5654a763e203d84d6fd3e940d324f5046f_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes	-	-	-	-	-	-	-	Unassigned	-
0ee310e3cfe957f013abda7d71e4c4b13b5503b5_6	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	-	-	-	-	-	-	-	Unassigned	-
8217fa40081b870cc7431ed759cf17382b8bf596_4	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
2d7aaf29d34ac17e962c79f457f4117944ca8924_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
1a465469a82abd1ccc301de4a2f323e9d2c53ff8_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
c9dde1522ade4dc8482f907ea471128406f2fdb1_14	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp	-	-	-	-	-	-	-	Unassigned	-
33a96d182f1233a4a09151ce6a78c0e9eb3449d8_3	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
eb754fb3203145cc1f1a858d8953a9325ff0b7ee_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
b255e7c3acbbd7af1201ae6312be1a2e147626ac_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
8f5de97778654a13bee7cb684eed3522180e9787_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium halotolerans	-	-	-	-	-	-	-	Unassigned	-
90ca3d144bfb99307f1edb46daaa259d7eb5740c_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp	-	-	-	-	-	-	-	Unassigned	-
52920e687938590f378ce0c3fea3558d8ebc2caf_3	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
728a238a20661a9782d48ba95a6a9156aaa31d41_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp	-	-	-	-	-	-	-	Unassigned	-
11aaf663655e49f5ee73b18508ebc5b85b4b56ef_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
05d58ad31bbbfe2650c749a43ad9f7a8204be44c_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	-	-	-	-	-	-	-	Unassigned	-
d142ae3296dcb0a8ee1af6a53a9003a3a20c0a73_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus	-	-	-	-	-	-	-	Unassigned	-
5eceb7157f0d78548139a2d0822f3ae2dedcaca3_1	1	1	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
5893f1b916dce18aa11cc7328f26a47d22239565_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	-	-	-	-	-	-	-	Unassigned	-
a8e7643b6d0a656bb013e49239d37b7d310412d4_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes	-	-	-	-	-	-	-	Unassigned	-
2e41e56b09f76e94d8f06a10b20c8e4754f2412b_92	1	1	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
