OTU_ID	S1	S2	Taxonomy
bc6db12f9a30e7ef2dd87bd55b737862aaae6b5a_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
de2d28c67739a125b4667876c9885473d2702670_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula
9e84ce7a7b5ea38580a1b274ac1cf5b519b372c3_16	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium
315ded8b9f8890a43dfa48088ca415110622a8ac_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium
5083fdd46e5a897067953fc6299a8761e4dcadba_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp
b8cec575278a776a8c6e07593ffe5624cab6a5d5_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeomoniella;s__Phaeomoniella sp
39643dd41618509e7ac146164b81a557e61414e2_30	1	1	k__Fungi;p__Ascomycota
9ef18111fccb91ff9121ca43a1d62eb9935c0c1c_1	1	1	k__Fungi;p__Ascomycota
ef1b8fef4137550b5fb9f8cc87478d36f04d4d12_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
3aeb4d391d6835fbb9d371f9ccb004d3ec810a35_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium
e8e4a9ff9ae022bbba6f491b09657eb89aa684e2_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp
08494abb7161f547f94ecec153d40fc24f0d9b2d_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula;s__Lachnellula calyciformis
fb441fe5f71b29cb31e436939e184c6100b9a835_1	1	1	k__Fungi
